record_id,damaging_comment,human_label
371,"Cut out food groups to help with physical disabilities (BMI was probs 19 maybe 20 at that time)     You're so healthy and it's amazing you only eat xyz (as I was heavily restricting, no processed food)",No
2553,'you need to gain weight if you ever want to be able to make a baby' -psychiatrist,Yes
1933,Primary Care doctor expressed that lack of period was not possibly due to excerise/food obsession because of normal weight. 'Don't look or verify as anorexic'. First therapist said I 'look healthy'.,Yes
2632,"My doctor told me I didn't look anorexic, my BMI was fine and that I was just attention seeking the morning after I'd tried to commit suicide and was in hospital. I'd been in recovery for 3 months and had worked very hard to gain weight in that time but he didn't know and didn't even stay to ask about it.",Yes
2538,'Have you tried doing abs' in response to my poor body image around my stomach,Yes
4473,"'You aren't that skinny, you are fine.'",Yes
4313,Primary care provider told me to 'Go eat a cheeseburger' at my first appointment with him which my mother scheded for me without asking due to her concern for my weight. He offered no real helpful guidance or referrals.,No
430,As above,No
2476,'You look fine!',Yes
472,"When first attempting to access treatment in Maine, my OBGYN suggested that despite amenorrhea and weight loss, I 'must have worked hard to lose weight' so she didn't want to ask me to put it back on, plus she suggested my BMI was still normal so no issue there. Instead prescribed birth control to manufacture a period. When I called my PCP to get a therapy referral for what I suspected was an ED, was told I'd have to wait months before being seen because an ED is 'non life threatening.' Eventually had to check myself into IOP at a clinic in Portland, ME.",Yes
70,Pediatrician told me that if I continued to not eat my stomach would start to 'eat itself'.,No
2225,Minimization by doctors until extremely ill,No
1369,"My pediatrician mentioned that she wished I were younger and they could've put me on growth hormones so I could grow taller. I perceived this to mean that my body shape and size were not ideal ('short and stout'). I now realize that the extrapolation of this comment to include weight was wholly my own, but I did feel embarrassed/ashamed/inadequate by this remark.",Yes
578,"Saying my weight when they weigh me, even though I look away from the number. Commenting on weight loss/gain.",No
729,'You do not look like you have an eating disorder' it was on a telehealth meeting from a psychiatrist,Yes
2071,Primary care doctor questioned eating disorder diagnosis because BMI was normal and I 'looked fine',Yes
2480,'Just drink green tea and exercise and it'll go away',Yes
4067,"After I gained weight, I noticed the suggestion to lose weight was almost always the first suggestion when I would seek treatment for completely unrelated ailments at my primary care providers",Yes
2227,"I have received negative comments from both ED and nonED providers. An ED clinician had me do a food log and then told me I was eating 'a lot' even though I was very clearly restricting. An ED psychiatrist suggested I have sleep apnea despite having zero symptoms except for being overweight. Other doctors and nurses have made consistent comments about my weight such as needing to 'cut back' on junk food (even though I do not eat it, they just assumed I do) or needing to 'walk more' despite not asking my walking or exercise habits.",Yes
913,Prescribed Wellbutrin while I was purging. When I asked the doctor he told me it would be good motivation to stop purging because it would be like playing Russian roulette in terms of having a seizure. He also told me that I didn't have to eat when I was hungry in response to a new med that was making me overly hungry.,No
1181,Providers would flippantly hand me a nutrition pyramid pamphlet and insist I lose weight rather than take my unrelated health concerns seriously.,Yes
3214,Many comments about me needing to lose weight from Primary and dietitian while ages 12-18.,Yes
2295,I wasn't thin enough for residential,Yes
2646,You look healthy,Yes
2396,was told to lose weight in response to depressive episodes and chronic pelvic pain,Yes
2367,"inappropriate comments related to my eating disorder, 'it's just a phase' 'it's just for attention' etc etc from psychiatrists",No
4503,"Saying carbohydrates cause weight gain, not velieving I still had an eating disorder when I gained weight, being very focused on my weight",Yes
2447,"Encouraging weight loss because I was overweight at times, encouraging dieting and over exercise, saying I was in perfect health with no concerns for my well-being when I was underweight",Yes
3025,"When my mom was concerned about me, the doctor ignored her and made comments about my weight.",Yes
2456,'you're not skinny enough' and 'you're definitely still in control of your eating',Yes
2892,I have been told I look healthy and been told to eat healthier,Yes
4577,Saying I gained weight but had just misread my chart.  This was just triggering bc I worked so hard to not be that weight.,No
2536,"Telling me my weight when I said I didn't want to hear it, put on meds to make me gain weight without treating the mental side of my disorder, sometimes have been dismissed about my struggles.",No
2771,Prior to losing more weight there was a comment about how I was at a 'healthy' BMI,Yes
1674,"I'm a healthy weight now but I'm still struggling with my eating disorder, I went to my family doctor to ask for help and he said that I should lose 20 more pounds and then I'll be able to get help. There's no other family doctors in my area so I'm stuck with no help once again.",Yes
3937,"Many comments on how I can just 'eat healthy' and that my body looks good, I don't look like I have a serious eating disorder, everybody does x behavior so it's not disordered",Yes
4362,"I'm always being told by doctors and other providers I need to go on a diet and I need to lose weight.  My insurance company and work (I work in healthcare) encourage me to join a program and to get my bmi down to 30 or below, by offering $600 if I do this.",Yes
4830,You're not 90 pounds,Yes
3246,"-Less concern about symptoms at times my weight was higher/average.  -'It's good to be conscious about what you put in your body.' 'It's healthy to exercise even if you're thin.'  -Promoting the theory that sugar is an addictive substance and might be best avoided.  -Suggesting cravings for certain foods were actually cravings for mothering (not necessarily a damaging comment, but one I thought was very misguided, when it seemed obvious even to me that my cravings were due to restricting)",Yes
2463,negative comments from male doctor and several nurses that worked for him about how much weight I'd gained since my last visit when I was recovering from AN.,Yes
2083,Doctors praised me for dropping so much weight so quickly. I also experienced amenhorrhea for a year and doctors never realized that it could be from an eating disorder because they didnt think i was too skinny even though i was.,Yes
1085,"Typically these comments have pertained to other parts of my identity which people didn't understand. I didn't view them as intentionally harmful, and still don't, but I do realize the harm that they perpetuate.    One comment that could have been damaging (though I used it to fuel my recovery) was when I was told I'd fail and relapse if I left a higher level of care. This overlapped with the fact that part of the reason I was leaving was due to my deductible starting over and my lack of ability to pay for the continued higher level of care.",No
3916,Suggestion that food habits were unhealthy,No
790,A gynecologist made inappropriate comments about my body and weight. A primary care doctor described me as 'well-nourished' based on my appearance when I was severely disordered.,Yes
4804,Telling me I need to change my diet like it's the easiest thing ever with very little knowledge about my diet just an assumption. Thinking my problem I saw them about automatically related to disorder as soon as she learned about it.,Yes
3553,"Many comments on weight loss, and 'healthy eating' after describing that I am in recovery from a restrictive eating disorder and am not interested in any diets. I was also told that I am not thin enough to have an eating disorder, and need to just stop eating so much, despite my eating disorder being restrictive and I already did not eat enough.",Yes
3275,"My weight was frequently asked about when I was trying to get my depression medicated. They started talking about me being too fat to be allowed treatment.    My mother being asked if she thought my anxiety was just a personality trait.    Being told after the first medication I took for my depression hadn't worked and I was there to try another one that 'medication probably just isn't going to work for me' - he then gave me a very similar medication and told me if it didn't work at the lowest dose it wouldn't work at all so there would be no point increasing the dose and there would be no point trying any other treatment.    Being told my anxiety could just be the result of tachycardia, by the nurse that did my first ECG I had to get to get ADHD meds, despite her not being qualified to read the results of the ECG (which she admitted) or qualified on mental illness (she was only qualified to work the ECG machine) - telling me my anxiety didn't even exist, despite tachycardia not being a cause of anxiety but a symptom which the doctors and cardiologist confirmed.    My parents being asked if they wanted me to get the treatment I needed for my ADHD after months of me fighting for it and having done every barrier they could think of, despite me being 21 at the time and it being my appointment that the psychiatrist invited my parents to against my will.    Having to sit through an hour long appointment where the doctor who I saw to try to get my sleep disorders medicated spent it complaining with my mother about their autistic children, insulting her autistic daughter while comparing her to me in terms of what treatment she thought was appropriate and then telling me she thought I was far more 'high functioning' than her daughter and I 'shouldn't be ashamed of being autistic' - despite having no evidence on my level of functioning (I couldn't even speak during the appointment or properly follow her instructions) and never indicating I was ashamed of being autistic because I'm not and never have been. She also kept touching me without consent despite this clearly making me uncomfortable.    Having to listen to the nurse who did a blood test on me against my will complain about her child with ADHD and tell my mother about how she is denying him medication because she found it inconvenient that it didn't work perfectly at the lowest dose of the first medication and her child started expressing his needs which she found inconvenient. She very clearly did not consider me to have bodily autonomy, she didn't think consent applied to me despite me being an adult at the time, which she was aware of.    Audiologist refusing to diagnose me, despite me having done the whole diagnostic process and clearly requiring diagnosis (which he admitted). Telling me and my parents that I shouldn't be using ear defenders, which allow me to access places outside my bedroom as they limit my pain, and referring me to an abusive therapy without my consent ignoring me explaining that this was not appropriate or required - this was also unrelated to why I was there.    Being told to get out of bed in the mornings and go outside and to exercise to cure my depression, despite me having told them that I do not have the energy to do this (that it is literally impossible for me to do) and that being outside triggers my sensory issues making me ill and in pain. Also trying to recommend 'diet' as a cure for depression, despite knowing nothing about my diet - they just wanted me to restrict my diet further.    Being told by the psychiatrist I was referred to by the crisis hospital that he doesn't believe I'm mentally ill, and refuses to assess me.    Threatened with institutionalisation.",Yes
2671,'You don't want to go to and eating disorder unit'  'If you keep going like this you'll have to go to an eating disorder unit'  'Maybe we'll lower the medication since it causes weight gain and that's a trigger for you',Yes
4256,"'you look so healthy, you look like youve been gaining more than just weight'  'you dont look underweight to me'",Yes
2489,"I was diagnosed with atypical anorexia because I did not meet the low weight criteria for anorexia. I was told MULTIPLE times that I wasn't sick enough to deserve treatment, or that there are so many people who are worse off than I am. Many examples of people who they've seen who weight less than me, eat less than I do, etc",Yes
2916,"My primary care talked to me about my weight, and when we discussed possible diets, she said she had no problem with that as she did 'not see me as being someone who would struggle with negative self image.'",Yes
2004,Weight isn't low enough to be of concern,Yes
2114,"â€¢ While on 1;1 on a medical unit for NG refeeding. The person got me to stand up and turn around so she 'could see me'. Then she told me I'm not underweight, not skinny, don't need to be here.   â€¢ Being told I'm being difficult, attention seeking, that I can just choose to get better and am just doing this for attention, that I'm being manipulative etc. When I was struggling with food/struggling with the meal plan",Yes
4197,Several related to my inability to recover alone,No
2828,'Everyone wants to lose weight'  'Can't you just work out a little?'  'You should eat in this disordered way instead of that one'  'You aren't that bad so...',Yes
557,"Comments about exercising more or cutting desert, not looking like I had a eating disorder, telling me to just eat more to avoid treatment",Yes
3372,I don't even know where to start.  GP's saying 'but you look fine!'  Psychiatrists saying I should 'just deal with it!'  Therapists saying I look skinny from their opinion.,Yes
2133,My Ed is not serious because I'm not thin,Yes
1032,Oh you're about the same weight as me I would say (an around 50 year old said this to me),Yes
3364,The psychotherapist didn't care that I was worry about food and kept talking about other things for five months,No
4698,Doctor told me I could not have an eating disorder if I didn't count calories,No
4666,"I went to see a dentist for a valid and painful concern I had with a tooth, one that caused a lot of anxiety. The dentist refused to continue his exam with me because he said I clearly needed a psychiatrist, not a dentist. He actually made me leave without any further assessment or assistance. It induced a lot of shame for me.",No
1612,Ate and suggested meals during therapy sessions,No
4747,"My new family doctor told me to just eat, chose not to fill out my paper work for treatment.",No
3797,To many to name,No
2115,"I was told by a doctor that I had gained 10 pounds, and then he told me that if I were to eat healthy foods and exercise I would lose it (duh, but I was finally coming to terms with my body - this comment sent me into some of the most restricting times in my ED)",Yes
3635,"would rather not disclose, but it was very hard to be taken seriously before I was dangerously underweight.",Yes
2478,Told my weight isn't low enough for me to be treated,Yes
2704,"something along the lines of 'you shouldn't have an eating disorder, you are overweight' yikes",Yes
3190,'We aren't trying to make you fat',Yes
4198,You look fine  Exercise will help you,Yes
2770,Comments on weight,Yes
1256,You don't look like you will go through weight redistribution,Yes
2738,- ' we'll see you again in less than 2 weeks'  - 'people like you always come back'   - 'it's highly unlikely that you'll ever fully recover',No
3691,"The first doctor I visited told me I was 'a lemon' (un limÃ³n in Spanish) which means I was severely damaged and no one would want my case. After being hospitalized I gained a few pounds and he said I was getting fat not fit, I was under a hundred pounds at the moment",Yes
1965,"When I wanted help my primary doctor called me a 'lemon' (limÃ³n in Spanish) The term is used to describe something that is damaged and no use repairing.     After impatient treatment, the doctor said I was gaining fat instead of muscle. I was still under 100 pounds when he made that comment.",Yes
2943,"That it sounds like what I really need to focus on is my grades in school, not my eating.",No
3810,N/D,No
3646,"me: i have an eating disorder, i've lost 20lbs  nurse: what's your height? weight? oh you're bmi is x, you only have a few pounds to reach a healthy weight    a separate time i was being assessed by my local crisis team for general mental health issues and they originally wouldn't admit me to the crisis stabilization unit because they 'couldn't handle' my eating disorder",Yes
4196,You look good when you are anorexic they said,Yes
431,Just the normal comments on me looking not too bad despite being very underweight... I personally didn't care but I worried other patients might.,Yes
3673,Frequently. This has caused me to develop avoidance and fear of wellness care     Some examples being:  When receiving preventative care for reproductive health and through PCP inappropriate comments about weight and 'you don't look like you have an eating disorder',Yes
929,I disclosed that I have issues with food and was told my BMI was in a healthy range. I was at a low point with restriction and my primary care was glad that I had lost weight.,Yes
4073,My former OBGYN dismissed my concerns about sudden amenorrhea being related to my low weight and states that my exercise behaviors were not excessive enough to contribute to amenorrhea.    My former PCP also dismissed my concerns when I tried to get to the root cause of my amenorrhea.,No
2001,"congratulated on weight loss during an appt required to get into inpatient treatment, among many others",Yes
2184,"Repeated 'nutrition counseling' and weight loss advice/lectures about how weight loss is a long-term goal for me from my endocrinologist despite my desire for a HAES-aligned approach, showing me my weight when I asked to be weighed blind, comments about how you can't just eat pizza every day from a new therapist when I explained that I was in eating disorder recovery and trying intuitive eating.",Yes
4821,Comments about weight gain/loss which were unhelpful or not related to my appointment,Yes
1532,That I was never going to recover,No
3399,Comments that professionals have said about my body,No
1205,"I was not at an alarmingly low weight so I wasn't being taken seriously. On a separate occasion, my 'therapist' made me step on a scale, look at the number until I cried, and forced me to say I was beautiful and not fat.",Yes
2291,Suggestions to lose weight based on BMI,Yes
1025,"Starting with fasting and emotional eating at 11, my pediatrician told me how much I had gained and told me to stop gaining weight but did not tell me how or why.   Pediatrician congratulated me on losing weight due to purging at 17.  Saw a dietitian for my eating disorder who did not specialize and she told me to eat 1400-1600 calories a day. That was 17 years ago and I still remember the numbers.   Multiple, multiple comments from other providers about my weight being 'not that bad' or a o me 'wasting hospital resources' (in ER) because  they felt my eating disorder was just a selfish, shallow choice   ER physicians stated I was wasting their time and 'wasn't that bad' based on my BMI",Yes
1020,A nurse in the ER told me to'just go home and eat.',No
3601,Was told I needed to go on a low carb diet for my weight.,Yes
1051,Assumptions I didn't have a restrictive eating disorder because I was overweight or normal weight. Told me that at lesser I wasn't so bad I was withering away. Assumed I wasn't currently struggling with behaviors because of my weight,Yes
3536,I get blind weights - my weight was taken and the tech said it out loud and told me it was going in the right direction (down); you really should be working out 5 days a week;  You'll need to work on losing weight,Yes
778,First try at getting help at 18 was told by college I was too complicated and they couldn't treat me . Saw a former PCP and told him I was restricting. Was lightheaded upon sitting up during exam. I asked if I could still run and was told to use an indoor bike so if I passed out and fell I wouldn't hurt myself,No
223,Focused on weight loss surgery/ weight loss programs such as weight watchers or medically supervised weight loss programs like Hmr,Yes
309,"My PCP ignored obvious signs of medical distress, years after diagnosing me with eating disorders, without suggesting further treatment. For years, I had to tell her when to do weights, labs, vitals, follow up appts, etc.",No
2876,I wasa told by a nurse at my primiary care office that I looked so good. Not helpful.,Yes
3128,When talking to my pcp she once said 'but your weight is normal' which pushed me into thinking maybe I didn't have a disorder even though I was severely restricting,Yes
3512,My pediatrician constantly commented on my weight and BMI.,Yes
451,PCP comments on weight and treatment. Dietician straight out of residential treatment telling me my weight and trying to make plan for weight loss despite the notes from the facility and my speaking up.,Yes
2252,"One of my issues is fear of carbs. I have been repeatedly told, reinforces the idea by my primary care it's okay not to like carbs, limit them. I told her I don't like carbs and she said 'good'. I have been told by a previous therapist it is okay to have only one meal per day.",No
2983,Focus on weight that was not relevant to issue at hand,Yes
1461,I am much to complicated and don't know what to do with me. I should be locked away,No
4504,I have an outpatient non eating disorder therapist that has struggled with an eating disorder and was in her late 50s. But she defiantly still had some issues and she thought she was being helpful but she had no idea how to treat eating disorders. Sue said to me 'have you ever tried on certain shirts to make sure you lost weight cause that's what I used to do' and she did things all the time along that line.,Yes
3697,"Health care providers that are not informed about the various symptoms related to eating DIsorders minimize representations by micro aggressive comments in the form of humor,  casualness, normalizing it.",No
1461,I have been in situations with doctors not for eating disorder that made very negative and hurtful comments at times while being weighed or my not wanting to get weighed that was written as non compliance and refused,Yes
2138,"NP would give me weight and how many pounds lost when I wasn't supposed to see per my therapist, tell me to 'just eat'",No
1217,"I was told I wasn't doing my best with trying to recover, but I was. When I told my previous psychiatrist about this she didn't believe me.",No
4863,Someone said 'so-called eating disorder',No
4732,"Do anything to lose weight , including spitting out your food",Yes
4519,I was told I could just get pills to lose weight from the nurse at my GPs office,Yes
683,"You weigh enough, you must eat enough",Yes
606,"Most recently, an endocrinologist remarked that she could see that I was in recovery now because I was 'too smart' to have an eating disorder and went on to talk about dieting. Other primary care physicians have made favorable comments about my underweight body, including 'I wish I had your discipline. '",Yes
3365,You aren't thin enough for escalation of treatment.  You don't look like you have anorexia.  There are people far worse than you  I don't understand why you can't eat...X patient came in with a bmi of 9 and she can eat,Yes
257,Naively discussing weight,No
4614,"I was told I didn't have anorexia, even though I had been  diagnosed with it by a different provider who specialized in EDs, because this provider who was not trained in EDs thought I wasn't underweight enough.",Yes
1908,A therapist I had during my binge eating disorder used to compare our weights because she was also overweight and she would make unhelpful comments and insinuate that that we were the same even though my entire life was driven by my eating disorder and hers was not. It made me very uncomfortable but I needed a therapist to stay in treatment so I kept seeing her.,Yes
3016,"I had to find a therapist quickly to stay in treatment and the woman I was able to see (was accepting patients immediately so I scheduled an appointment immediately) had weight issues herself and whenever I would talk about my BED, she'd talk about her being overweight. I almost felt like I was making her feel insecure because she was also overweight. She would make dismissive comments about the very real and damaging thoughts that drove my every moment toward a food obsession and try to act like we were the same when she had no clue what I was going through. She centered the weight and the eating, not the thoughts that caused it all.",Yes
2579,Statements that I am in good health when I was mentally very unwell and unable to express so,Yes
1524,After initial weight gain associated with anorexia nervosa treatment I had a primary care dr comment on the higher weight and associate that with me 'clearly not having anorexia',Yes
1957,'You won't get fat if you go into treatment',Yes
3809,"'You won't get fat in recovery' - I did and that should've been fine, but instead it gave me a mantra that was untrue and unhelpful",Yes
3333,'You're not underweight so we aren't that concerned right now',Yes
177,Was told to get weight loss surgery to reach my ultimate goal weight,Yes
4858,"When I was younger, I was told that I was on the high end of the weight range and encouraged to control my weight by my PCP. When I developed an ED, the same PCP was insensitive and didn't seem interested in how I was feeling/anything except my weight.",Yes
2684,A lot of weight stigma from my pcp about being overweight and needing to workout and lose weight,Yes
4869,"Assumptions my ED is not restrictive based off my weight when I haven't been a low weight, been told I seem 'fine' by ER doctors based only on appearance, been congratulated by providers on my weight loss despite them knowing I have an eating disorder diagnosis",Yes
3678,Was told I was not sick enough to have an eating disorder because my BMI was not low enough. I was actively purging daily at the time and had lost 25 pounds in a short span of time. Have been lauded for my weight loss by a PCP.,Yes
2562,Had a medication error made my nursing staff and when i tried to bring it up they refused to believe me and said that the psychiatrist knows what they are doing and probably prescribed it.     Have been told my weight in inappropriate ways and at times when i didn't wish to know it/ when i wasn't supposed to know it.     Was basically told by many in my first treatment that i don't try or don't care.,Yes
2054,"PCP made comment that I was likely just going through 'being a teenager,' talking to my father about it specifically. Additionally, gynecologist continued to tell me to lose weight for years of ED.",Yes
4654,"Pediatrician doctor told me there was nothing wrong with me, I didn't have an eating disorder, he too disliked eating, I hadn't lost any weight so I was fine, he had another patient who was worse than me so a) I shouldn't be like that patient and b) I was not struggling.",Yes
2330,My PCP has made comments about my weight and getting surgery tho knowing I have an eating disorder. Also basically every experience in the er and urgent care my health issues are dismissed as a weight issue.,Yes
3082,I explained in the box above. There have been multiple comments throughout my life it would take forever to think of them all and write them down here. Just know weight stigma is alive and well as I started treatment at a high weight and my treatment expierence was harder because of it.,Yes
2648,"Recommendations to use ED behaviors to cope with stress and depression  Comments about weight, particularly in how it relates to the severity of my ED",Yes
2668,'I diagnosed you with atypical anorexia because you don't have a low weight' psychiatrist   'If you kill yourself you won't see your dad in heaven because you will go to hell' psychiatrist,Yes
3008,"My former pediatrician, current psychiatrist",No
3181,"Pasta is bad for you, follow these aruvedic practices instead, stop being resistant to treatment",No
2222,my non eating disorder primary care goes by bmi...,Yes
2645,My PCP told me I was 'better' because my weight was stable... it didn't matter that I was restricting and purging.,Yes
1522,'You look healthy to me' as well as doctors failing to keep my weights hidden,Yes
2092,'well you look healthy to me' - doctors response when i told him about eating disorder prior to my receiving surgery while in residential level of treatment. countless other examples I just can't think of right now.,Yes
3511,I wish you would stop  You're going to have dementia  You're not fat  You need to just eat regular meals and exercise,Yes
2267,They say I can't have an eating disorder because my weight is normal or overweight. They say to focus on balance and moderation. Or they say everyone worries about calories or their weight.,Yes
3140,My old PCP told me that my anxiety and ED were from school. This was the first time ive ever mentioned anything about my anxiety to any healthcare professional because ive been so scared and ashamed- invalidated. She also based how sick i was per the BMI scale,Yes
3028,"Other providers have also told me that I was doing this all for attention and that my medical issues were just to receive pain medication. (If that was truly the case, I don't think that they would've taken my whole colon out....)  Also, after I got my GJ tube in, I was in severe pain and the covering surgeon said 'Pain is subjective; you just had surgery.' He said this two days in a row. When my surgeon came back, he took me into emergency surgery because I had 12 abscesses because the formula leaked into my abdominal cavity.",No
3572,Q doctor being very judge when doing weight checks or tracking blood work,Yes
3948,"primary care doctor knew I had an eating disorder, recommended I lose weight for chronic pain. Comments on my BMI or me being 'obese' despite knowing about anorexia diagnosis",Yes
108,"When I went to my pediatrician because I wasn't eating and was purging he said, 'Usually I only refer the serious anorexics to the eating disorder clinic,' which just made me more determined to lose weight to 'prove' that I was sick/worthy of treatment. Another time I was sent from PHP to the ER because of my heart rate. When I told the nurse that it was because I had an eating disorder she said, 'Well I don't see any of your bones sticking out so you're fine.'",Yes
2561,"PCP talking about weight gain, comparing my growth charts to my sisters right in front of us",Yes
473,I have been told i don't have an eating disorder or am not sick because I'm bigger than most people with my disorder,Yes
473,"I have been told I was to fat for treatment, that I just need to get over myself, that I won't recover, that I didn't need a feeding tube and many others",Yes
901,"There have been multiple times in inpatient psychiatric facilities where mental health workers, nurses, and even psychiatrists, have said they don't believe I have an eating disorder because I'm not underweight or skinny. Also at multiple psych wards there were times I passed out, had chest pains, dizziness, lost my balance, and other physical symptoms, also used ed behaviors including purging, excessive exercise, restricting and fasting, and even though they knew I was diagnosed with an ed, they didn't do anything about it, yelled at me, said I was being uncooperative or that I was faking, and even threatened to restrain me.",Yes
4366,That I wasn't underweight enough.,Yes
117,A non-ed therapist that I tried going to after I got out of inpatient- they told me I could go on a diet.,Yes
4818,"Comments on my weight going up, though I was well within a 'normal' BMI",Yes
1872,"'To lower those numbers one needs to eat more fiber and wholesome foods rather than processed food, carbs, and sugar...although that seems to look like what you like to eat.'",Yes
2769,"When I told my provider I was 'getting fat' and that now that I am over 30 it is difficult to lose weight, she said that I should drink protein shakes for breakfast to help keep the weight off. A simple comment, but one that for me, confirmed I am overweight.",Yes
506,"Numerous providers have encouraged bariatric surgery without knowing anything about me or my health history. They automatically assumed I had BED. I've had doctors tell me that I clearly didn't have an ED history or was clearly not struggling anymore because of my weight. I've been told I didn't need to focus on recovery because my weight was actually too much.     My last relapse (2019) I was diagnosed with diabetes and my anorexia came back overnight. I begged my endocrinologist for an appointment and I was told I had to wait 6 months because I wasn't experiencing a medical emergency. I subsequently lost 20% of my body weight and my A1C dropped 2.5 points in 10 weeks. My PCP told me whatever I was doing was working and to keep it up. My endo, when I finally saw her, told me 'You don't have to keep starving, so you can stop that, but losing weight isn't a bad thing for you.' I am still working on recovery, and found a great nutritionist, but I have a great fear of the doctors office now, after such cruel and invalidating treatment.",Yes
2526,Telling me to lose weight because I am considered overweight. Telling me all my health issues are because of being fat.,Yes
1449,'You are too old to recover'  'If you don't go onto medication you'll never recover',No
788,One time a therapist who was not trained with eating disorders told me 'It's okay to want to be skinny' when I told her I have unrealistic body standards for myself and want to not want to lose weight.,Yes
4183,Told it was because i didnt have a boyfriend and if i had sex one day id be fine,No
269,numbers are talked about during appointments which are triggering even after asking to be weighed backwards and not discuss my weight in terms of numbers,No
269,i never got into the severely underweight bracket so lots of medical professionals have told me i'm not 'that sick',Yes
1410,Being called obese and putting me on phentermine as a way to lose weight. Other physicians have gone anywhere from giving me diet plans to lose weight to telling me to keep a journal.,Yes
4265,"A lot of comments about my body, my appearance, my worth being tied to this, and that what you look like it very important to have a nice life. Family is brainwashed like this but I want to break free",Yes
4365,"Nurse asked how much I weighed before I stepped on scale, did a little guessing game. People often comment on how I am small like a child.",Yes
998,"1. When I first told my therapist that I had an eating disorder, she had me list some of my behaviors, then said, 'Honey, everybody diets.'  2. When I first told a doctor that I had an eating disorder, she looked me up and down and said, 'Well you look healthy.'",Yes
605,"Comments about body size (calling me 'thin'), saying I don't quality for inpatient treatment (irrespective of insurance issues) because I'm not at a low enough weight",Yes
2362,"- 'your weekly weight came in, and if you're trying to starve yourself you're not doing a very good job' from a therapist named Jeff a Lavallee at Solstice RTC in Utah. There were many more where that came from.",Yes
2352,My former PCP would tell me to 'just eat' and shame me for continuing to lose weight to the point of feeling despondent afterward,Yes
2744,'You don't look like you have an eating disorder',Yes
2617,"Comments about it being a selfish choice, congratulating weight gain, telling me i looked great (while at a bmi of 15)",Yes
2448,you look healthy - it can't be an eating disorder,Yes
1748,"I went to an allergist to rule out food allergies, and i did not have one, but they recommended I go on a gluten free diet anyways 'just to see' and it started an entire cycle of binge eating",Yes
3517,"therapist discussing weight gain as 'negative' side effect to SSRI medication, therapist commenting on weight gain or loss, therapist telling me i 'shouldn't' be eating certain foods and i 'should' be exercising in specific ways.",Yes
1642,weight not low enough,Yes
1769,Was told that since my weight was in a 'normal' range then I couldn't possibly have an eating disorder,Yes
3297,"'You're too smart to have an ED'  Comments on weight gain in recovery  Comments on size during pregnancy despite disclosure of past ED   Before my relapse, I sought out therapy for relationship difficulties. When I was searching for providers, they all universally said 'if you need specialized treatment, like for an ED, I can't help you.' So even before my relapse, I got the distinct impression from the mental health providers that they do not want/feel comfortable with ED issues. I understand wanting to make sure someone gets the right care, but it felt really stigmatizing to have EDs so singled out.",Yes
1595,"Hospital physician: ' you just need a hobby'  DBT provider: ' you look like a Holocaust survivor'  Hopsital sitter: ' that's just the devil telling you what to do'  Hospital sitter: ' black people don't have eating disorders. Come to my country,  I'll feed you'  Nurse: 'you're disgusting, I'm not doing this'  Psych tech: 'why bother when she's just going to throw it up anyway'",Yes
